Var1	Sample_no	Var2	Species	Freq
4517	1	S8APX1	Mycetophilidae_cluster30	0
4532	1	S8APX1	Mycetophilidae_cluster306	0
4547	1	S8APX1	Mycetophilidae_cluster312	0
4562	1	S8APX1	Mycetophilidae_cluster348	0
4577	1	S8APX1	Mycetophilidae_cluster45	0
4592	1	S8APX1	Mycetophilidae_cluster457	0
4607	1	S8APX1	Mycetophilidae_cluster48	0
4622	1	S8APX1	Mycetophilidae_cluster5	0
4637	1	S8APX1	Mycetophilidae_cluster59	0
4652	1	S8APX1	Mycetophilidae_cluster63	0
4667	1	S8APX1	Mycetophilidae_cluster9	0
4682	1	S8APX1	Mycetophilidae_cluster97	0
4697	1	S8APX1	Nabidae_cluster3	0
4712	1	S8APX1	Noctuidae_cluster15	1
4727	1	S8APX1	Noctuidae_cluster26	0
4742	1	S8APX1	Orchesellidae_cluster1	2
4757	1	S8APX1	Oribatulidae_cluster1	0
4772	1	S8APX1	Oribatulidae_cluster2	0
4787	1	S8APX1	Parasitidae_cluster1	0
4802	1	S8APX1	Philodromidae_cluster1	0
4817	1	S8APX1	Philodromidae_cluster10	0
4832	1	S8APX1	Philodromidae_cluster9	0
4847	1	S8APX1	Phoridae_cluster102	0
4862	1	S8APX1	Phoridae_cluster106	0
4877	1	S8APX1	Phoridae_cluster11	1
4892	1	S8APX1	Phoridae_cluster115	0
4907	1	S8APX1	Phoridae_cluster118	0
4922	1	S8APX1	Phoridae_cluster127	0
4937	1	S8APX1	Phoridae_cluster13	1
4952	1	S8APX1	Phoridae_cluster14	0
4967	1	S8APX1	Phoridae_cluster15	0
4982	1	S8APX1	Phoridae_cluster155	0
4997	1	S8APX1	Phoridae_cluster163	0
5012	1	S8APX1	Phoridae_cluster169	0
5027	1	S8APX1	Phoridae_cluster17	2
5042	1	S8APX1	Phoridae_cluster21	0
5057	1	S8APX1	Phoridae_cluster251	0
5072	1	S8APX1	Phoridae_cluster253	0
5087	1	S8APX1	Phoridae_cluster27	1
5102	1	S8APX1	Phoridae_cluster303	0
5117	1	S8APX1	Phoridae_cluster31	0
5132	1	S8APX1	Phoridae_cluster35	0
5147	1	S8APX1	Phoridae_cluster4	4
5162	1	S8APX1	Phoridae_cluster42	0
5177	1	S8APX1	Phoridae_cluster5	0
5192	1	S8APX1	Phoridae_cluster52	0
5207	1	S8APX1	Phoridae_cluster53	0
5222	1	S8APX1	Phoridae_cluster66	0
5237	1	S8APX1	Phoridae_cluster69	0
5252	1	S8APX1	Phoridae_cluster88	0
5267	1	S8APX1	Phoridae_cluster97	0
5282	1	S8APX1	Polleniidae_cluster1	7
5297	1	S8APX1	Polleniidae_cluster2	46
5312	1	S8APX1	Polleniidae_cluster3	6
5327	1	S8APX1	Polleniidae_cluster4	0
5342	1	S8APX1	Polleniidae_cluster5	5
5357	1	S8APX1	Polleniidae_cluster6	10
5372	1	S8APX1	Polleniidae_cluster7	0
5387	1	S8APX1	Psychodidae_cluster23	0
5402	1	S8APX1	Psychodidae_cluster3	0
5417	1	S8APX1	Psychodidae_cluster6	1
5432	1	S8APX1	Psyllidae_cluster1	0
5447	1	S8APX1	Psyllidae_cluster6	0
5462	1	S8APX1	Pteromalidae_cluster22	0
5477	1	S8APX1	Ptinidae_cluster4	0
5492	1	S8APX1	Rhyparochromidae_cluster11	0
5507	1	S8APX1	Rhyparochromidae_cluster14	0
5522	1	S8APX1	Rhyparochromidae_cluster4	0
5537	1	S8APX1	Rhyparochromidae_cluster7	0
5552	1	S8APX1	Salpingidae_cluster1	0
5567	1	S8APX1	Scathophagidae_cluster1	23
5582	1	S8APX1	Scathophagidae_cluster2	0
5597	1	S8APX1	Scathophagidae_cluster3	1
5612	1	S8APX1	Scathophagidae_cluster4	0
5627	1	S8APX1	Scathophagidae_cluster7	8
5642	1	S8APX1	Sciaridae_cluster1	3
5657	1	S8APX1	Sciaridae_cluster103	0
5672	1	S8APX1	Sciaridae_cluster104	0
5687	1	S8APX1	Sciaridae_cluster12	0
5702	1	S8APX1	Sciaridae_cluster127	0
5717	1	S8APX1	Sciaridae_cluster129	0
5732	1	S8APX1	Sciaridae_cluster130	0
5747	1	S8APX1	Sciaridae_cluster14	0
5762	1	S8APX1	Sciaridae_cluster145	0
