cluster	S8APX1_L	SLWUQ2_L	S5MEZA_L	SY34ZS_L	STHFJP_L	SKYQAL_L	SIRUBH_L	SCNXZK_L	SUXEKB_L	SQVR9H_L	SIUQ3G_L	SG3CB2_L	SBWPUY_L	SC1YIM_L	SACBBR_L	BLANK_L	S8APX1_H	SLWUQ2_H	S5MEZA_H	SY34ZS_H	STHFJP_H	SKYQAL_H	SIRUBH_H	SCNXZK_H	SUXEKB_H	SQVR9H_H	SIUQ3G_H	SG3CB2_H	SBWPUY_H	SC1YIM_H	SACBBR_H	POS	NEG_PCR	NEG
Brentidae_cluster1	0	42	37	1614	0	54	0	0	0	0	0	0	0	0	0	0	0	588	0	1510	0	3775	0	1514	0	0	0	0	0	0	819	0	0	0
Chironomidae_cluster2	0	0	0	7548	0	1292	0	15719	0	0	0	0	0	0	0	0	0	0	0	433	0	369	0	641	0	0	0	0	0	0	0	0	0	0
Scirtidae_cluster6	8	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	1302	0	0	0	0	0	0	0	0	0	0	0	0	1343	0	0	0
Chironomidae_cluster3	0	1602	0	0	0	6532	5374	0	0	0	0	0	0	0	16164	0	0	201	0	0	0	791	718	0	0	0	0	0	0	0	7860	37	0	0
Sciaridae_cluster432	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cecidomyiidae_cluster153	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phoridae_cluster115	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Drosophilidae_cluster3	81	381	239	915	620	69	27	7440	2657	244	37409	1291	2093	1384	1126	0	161	242	62	318	101	642	1057	417	1211	1095	2084	474	458	1179	1637	0	0	0
Miridae_cluster101	0	14	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0
Entomobryidae_cluster4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0
Chloropidae_cluster8	1408	312	0	0	4532	0	0	0	0	0	0	0	0	0	0	0	733	62	0	0	734	0	0	0	0	0	0	0	0	0	0	0	0	0
Cybaeidae_cluster1	1075	727	0	0	0	0	0	0	0	0	130	0	0	0	528	0	568	98	0	0	0	0	0	0	0	0	133	0	0	0	1209	68	0	0
Cicadellidae_cluster4	1412	208	0	33	423	0	0	0	0	0	0	362	0	115	5296	0	2525	1506	282	202	253	0	0	0	0	0	0	632	0	4919	2720	0	0	0
Empididae_cluster9	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Silvanidae_cluster1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ichneumonidae_cluster2036	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
Miridae_cluster26	0	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gryllidae_cluster5	31	39	14	50	9	28	48	46	211	0	0	289	24	0	58	0	37	23	9	4	0	11	35	16	12	59	18	10	3	13	55	0	0	0
Chloropidae_cluster48	0	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Drosophilidae_cluster7	24	0	37	190	0	0	35	49	27	89	19	37	44	0	0	0	50	7	8	11	0	0	15	7	6	35	10	11	9	19	0	0	0	0
Mymaridae_cluster23	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cecidomyiidae_cluster23	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
