cluster;ELA001_H1;ELA001_H2_pf;ELA001_H3;ELA001_H4_pf;ELA001_H5;ELA001_H6;ELA001_H7;ELA001_H8_pf;ELA001_H9;ELA001_H10;ELA001_H11;ELA001_H12;ELA001_H13;ELA001_H14;ELA001_H15
Lygaeidae_cluster1;0;0;0;676;0;4263;0;0;0;0;0;0;0;0;0
Lymexylidae_cluster1;40500;45100;0;0;0;0;81663;0;17;0;0;0;0;0;0
Lyonetiidae_cluster4;0;163;0;0;0;0;0;0;0;0;0;0;0;0;0
Lyonetiidae_cluster5;0;0;394;0;0;0;0;0;0;0;0;0;0;0;0
Lypusidae_cluster2;0;0;5147;1785;922;0;0;0;0;0;0;0;0;0;0
Megaspilidae_cluster5;0;0;0;13;0;0;0;0;3;0;0;0;0;0;0
Milichiidae_cluster1;0;0;0;0;0;0;0;1162;0;0;0;0;0;0;0
Miridae_cluster1;0;0;0;0;0;270;0;210;0;0;0;0;0;0;0
Miridae_cluster2;0;487;0;0;0;0;0;0;0;0;0;0;305;0;0
Miridae_cluster20;0;0;0;0;0;0;0;0;0;0;1730;0;0;0;0
Miridae_cluster26;0;275;0;0;0;0;0;0;0;0;0;0;0;0;0
Miridae_cluster35;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0
Miridae_cluster7;0;535;0;228;0;0;0;0;0;0;0;0;0;0;0
Monotomidae_cluster1;0;0;0;0;0;0;0;0;245;2936;1261;0;44;0;7163
Muscidae_cluster11;0;0;0;0;0;0;0;70052;0;0;0;0;0;0;0
Muscidae_cluster122;0;0;2088;1024;2078;0;0;0;0;0;0;0;0;2697;0
Muscidae_cluster14;42155;846;8351;17675;599;0;0;0;9424;0;0;0;0;0;0
Muscidae_cluster2;0;0;26773;0;9787;28350;0;0;0;0;0;0;0;0;0
Muscidae_cluster23;0;0;0;0;0;0;0;17034;0;0;0;0;0;0;0
Muscidae_cluster28;109857;49439;14257;29959;17121;82969;72458;0;26341;0;0;0;36943;24592;0
Muscidae_cluster31;0;0;0;0;0;0;0;1533;0;0;0;0;0;0;0
Muscidae_cluster39;23814;15135;2064;10696;1392;0;0;0;0;0;0;0;6740;0;0
Muscidae_cluster54;7795;3283;3070;0;10395;0;0;3528;0;0;0;0;0;0;7697
Muscidae_cluster73;0;0;9115;0;3573;0;0;0;0;0;0;0;0;0;0
Mycetophagidae_cluster1;0;0;0;218;0;0;0;0;0;0;0;0;0;0;0
Mycetophilidae_cluster1;0;0;933;0;1334;0;0;0;0;0;0;7471;0;0;0
Mycetophilidae_cluster103;1543;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mycetophilidae_cluster11;2752;22;7240;4635;1647;5999;0;6198;5272;85129;10241;8806;23636;0;0
Mycetophilidae_cluster113;0;0;0;0;0;0;0;0;0;5377;0;0;0;0;0
Mycetophilidae_cluster148;0;0;0;0;0;465;0;0;0;0;0;0;0;0;941
Mycetophilidae_cluster152;0;0;0;0;0;2498;0;0;0;0;0;0;0;0;0
Mycetophilidae_cluster177;1243;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mycetophilidae_cluster185;5292;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mycetophilidae_cluster190;0;216;0;0;0;0;0;0;0;0;0;0;0;0;0
Mycetophilidae_cluster23;372;797;998;0;0;0;0;0;5547;12142;0;0;1911;0;0
Mycetophilidae_cluster27;6132;0;3591;4380;627;3988;0;3338;0;0;0;0;0;0;0
Mycetophilidae_cluster270;0;0;0;0;0;2028;0;0;0;0;0;0;0;0;0
